Date,Credit/Debit,Balance,Category
26/5/2024,-4.56,2528.98,Food
26/5/2024,-2.65,2533.54,Eating out
26/5/2024,-1.25,2536.19,Food
26/5/2024,-26.7,2537.44,Eating out
25/5/2024,-3.6,2564.14,Food
25/5/2024,-5,2567.74,Utilities
25/5/2024,-6.5,2572.74,Eating out
25/5/2024,-5.5,2579.24,Eating out
25/5/2024,-5.4,2584.74,Food
24/5/2024,-2.5,2590.14,Food
24/5/2024,-18.09,2592.64,Food
23/5/2024,-19.95,2610.73,Eating out
23/5/2024,-13.62,2630.68,Travel
22/5/2024,726,2644.3,Eating out
22/5/2024,-14.17,1918.3,Utilities
22/5/2024,-9.2,1932.47,Travel
22/5/2024,-21,1941.67,Food
22/5/2024,-19,1962.67,Food
22/5/2024,-22.95,1981.67,Food
22/5/2024,-5.4,2004.62,Food
22/5/2024,-100.11,2010.02,Travel
22/5/2024,-5.99,2110.13,Food
22/5/2024,-30,2116.12,Eating out
21/5/2024,-4.2,2146.12,Eating out
21/5/2024,-1.1,2150.32,Food
21/5/2024,-1.1,2151.42,Travel
21/5/2024,-15.8,2152.52,Eating out
21/5/2024,-2.5,2168.32,Food
21/5/2024,-5.59,2170.82,Entertainment
21/5/2024,-4.45,2176.41,Food
21/5/2024,-62.99,2180.86,Utilities
21/5/2024,-21.69,2243.85,Eating out
21/5/2024,-25,2265.54,Eating out
21/5/2024,-13.62,2290.54,Food
20/5/2024,-169,2304.16,Eating out
20/5/2024,-5.08,2473.16,Eating out
20/5/2024,-2.5,2478.24,Travel
20/5/2024,-2.54,2480.74,Food
20/5/2024,-13.62,2483.28,Utilities
18/5/2024,-68.9,2496.9,Eating out
18/5/2024,-0.45,2565.8,Eating out
18/5/2024,-6,2566.25,Eating out
18/5/2024,-5.3,2572.25,Eating out
18/5/2024,-8.6,2577.55,Eating outuções
17/5/2024,-6.9,2586.15,Eating out
17/5/2024,-23.5,2593.05,Eating out
17/5/2024,-8.07,2616.55,Eating out
17/5/2024,-6.56,2624.62,Entertainment
17/5/2024,-4,2631.18,Eating out
17/5/2024,-12.1,2635.18,Eating out
17/5/2024,-5.35,2647.28,Food
16/5/2024,-9.6,2652.63,Eating out
16/5/2024,-8.48,2662.23,Food
16/5/2024,-7.93,2670.71,Eating out
15/5/2024,726,2678.64,Eating out
15/5/2024,-4.5,1952.64,Eating out
15/5/2024,-7.54,1957.14,Eating out
15/5/2024,-5.55,1964.68,Eating out
15/5/2024,-5.3,1970.23,Eating out
15/5/2024,-22.95,1975.53,Food
15/5/2024,-8.8,1998.48,Eating out
15/5/2024,1738.08,2007.28,Eating out
14/5/2024,-13,269.2,Travel
14/5/2024,-8.17,282.2,Utilities
14/5/2024,-1.25,290.37,Food
14/5/2024,-6.1,291.62,Food
14/5/2024,-4,297.72,Eating out
14/5/2024,-1738.08,301.72,Eating out
13/5/2024,-11.1,2039.8,Food
13/5/2024,-8.13,2050.9,Utilities
12/5/2024,-79,2059.03,Eating out
12/5/2024,-52.9,2138.03,Eating out
12/5/2024,-7.5,2190.93,Utilities
12/5/2024,-11.05,2198.43,Food
11/5/2024,-24,2209.48,Eating out
10/5/2024,-17.98,2233.48,Eating out
10/5/2024,-29.9,2251.46,Food
10/5/2024,-16.67,2281.36,Entertainment
10/5/2024,-4,2298.03,Eating out
10/5/2024,-14.3,2302.03,Eating out
10/5/2024,-30,2316.33,Eating out
9/5/2024,30,2346.33,Eating out
9/5/2024,-6,2316.33,Eating out
9/5/2024,-29.4,2322.33,Eating out
9/5/2024,-11.98,2351.73,Eating out
8/5/2024,-1.1,2363.71,Eating out
8/5/2024,-24.1,2364.81,Eating out
8/5/2024,521.38,2388.91,Food
8/5/2024,-17,1867.53,Eating out
8/5/2024,-6.08,1884.53,Eating out
8/5/2024,-22.95,1890.61,Eating out
8/5/2024,-61,1913.56,Food
7/5/2024,-17.18,1974.56,Food
7/5/2024,-46.77,1991.74,Eating out
7/5/2024,-33.5,2038.51,Eating out
7/5/2024,-17.04,2072.01,Utilities
5/5/2024,-6,2089.05,Eating out
4/5/2024,-16.67,2095.05,Entertainment
4/5/2024,-4.7,2111.72,Eating out
4/5/2024,-5.64,2116.42,Eating out
4/5/2024,-50.17,2122.06,Eating out
3/5/2024,-17.9,2172.23,Eating out
3/5/2024,-14.03,2190.13,Eating out
3/5/2024,-3.75,2204.16,Eating out
2/5/2024,278,2207.91,Eating out
2/5/2024,-11.1,1929.91,Eating out
2/5/2024,-13.4,1941.01,Entertainment
2/5/2024,-10,1954.41,Food
1/5/2024,507,1964.41,Travel
1/5/2024,-5.4,1457.41,Food
1/5/2024,-22.95,1462.81,Eating out
1/5/2024,-5,1485.76,Travel
1/5/2024,-4.79,1490.76,Food
1/5/2024,-48.64,1495.55,Utilities
1/5/2024,-6.2,1544.19,Food
30/4/2024,-5.79,1550.39,Food
30/4/2024,-16.25,1556.18,Eating out
30/4/2024,-27,1572.43,Food
30/4/2024,-3.5,1599.43,Eating out
30/4/2024,-5.3,1602.93,Eating out
30/4/2024,-15.6,1608.23,Eating out
30/4/2024,-5.7,1623.83,Eating out
30/4/2024,-34.35,1629.53,Eating out
30/4/2024,-21.9,1663.88,Eating out
30/4/2024,-10.5,1685.78,Eating out
30/4/2024,-4.5,1696.28,Eating out
30/4/2024,-25,1700.78,Eating out
30/4/2024,-9.9,1725.78,Utilities
30/4/2024,-27.65,1735.68,Eating out
30/4/2024,-8,1763.33,Eating out
