Date,Credit/Debit,Balance,Category
04/07/2024,-100,120.29,Eating out
04/07/2024,-19.39,220.29,Travel
04/07/2024,-35.37,239.68,Travel
04/07/2024,-10,275.05,Food
04/07/2024,-14.5,285.05,Food
03/07/2024,-13.3,299.55,Utilities
03/07/2024,-12.68,312.85,Travel
03/07/2024,-40,325.53,Food
03/07/2024,174.46,365.53,Eating out
02/07/2024,100,191.07,Utilities
02/07/2024,-83,91.07,Travel
02/07/2024,-54.99,174.07,Utilities
02/07/2024,-39.92,229.06,Eating out
02/07/2024,-20.19,268.98,Eating out
02/07/2024,-59.37,289.17,Eating out
02/07/2024,-9.73,348.54,Travel
02/07/2024,-6.68,358.27,Travel
02/07/2024,-12.92,364.95,Travel
02/07/2024,-208.94,377.87,Utilities
01/07/2024,300,586.81,Utilities
29/06/2024,128,286.81,Travel
29/06/2024,-23.08,158.81,Travel
29/06/2024,-12.14,181.89,Food
29/06/2024,-35.83,194.03,Travel
29/06/2024,-23.83,229.86,Food
29/06/2024,-114,253.69,Food
29/06/2024,-200,367.69,Eating out
27/06/2024,-40,567.69,Travel
27/06/2024,-37.49,607.69,Travel
27/06/2024,-12.43,645.18,Travel
26/06/2024,-1500,657.61,Travel
26/06/2024,334.6,2157.61,Eating out
26/06/2024,1092.16,1823.01,Eating out
26/06/2024,-20.92,730.85,Food
26/06/2024,624.38,751.77,Eating out
25/06/2024,-17,127.39,Eating out
25/06/2024,-23.99,144.39,Eating out
25/06/2024,-55,168.38,Eating out
25/06/2024,-76.02,223.38,Food
25/06/2024,-29.54,299.4,Entertainment
25/06/2024,-16.75,328.94,Food
25/06/2024,100,345.69,Travel
22/06/2024,100,245.69,Travel
22/06/2024,-5.4,145.69,Entertainment
22/06/2024,-11.63,151.09,Utilities
22/06/2024,-9.55,162.72,Food
21/06/2024,80,172.27,Entertainment
21/06/2024,-3.08,92.27,Travel
21/06/2024,-80,95.35,Eating out
21/06/2024,100,175.35,Travel
21/06/2024,-80,75.35,Travel
21/06/2024,-28.79,155.35,Utilities
21/06/2024,-14.26,184.14,Utilities
21/06/2024,-15.6,198.4,Eating out
21/06/2024,-12.88,214,Eating out
21/06/2024,-9.13,226.88,Food
21/06/2024,-24,236.01,Eating out
21/06/2024,-22,260.01,Food
20/06/2024,-35.21,282.01,Food
19/06/2024,-14.61,317.22,Travel
