Date,Credit/Debit,Transaction Name,Balance
4/7/2024,-5,LAKESIDE ENTERPRISES UNIVERSITY OFAU Card xx4604,1234.46
4/7/2024,-17.71,LUCA CURRIE PTY LTD WOOLLOONGABBA QL AUS Card xx4604 Value Date: 02/07/2024,1239.46
3/7/2024,-22.95,DBS*Fitness Cartel Asp Aspley QL AUS Card xx4604 Value Date: 01/07/2024,1257.17
3/7/2024,-15,ANGELIKA FILM CENTRE WOOLLOONGABBA QL AUS Card xx4604 Value Date: 30/06/2024,1280.12
3/7/2024,-6.64,TCC Everton Hills Everton Hills QL AUS Card xx4604 Value Date: 30/06/2024,1295.12
3/7/2024,-1,LITTLE RED DUMPLING WOOLLOONGABBA QL AUS Card xx4604 Value Date: 30/06/2024,1301.76
3/7/2024,-4,LITTLE RED DUMPLING WOOLLOONGABBA QL AUS Card xx4604 Value Date: 30/06/2024,1302.76
3/7/2024,-6.2,FOSTER & BLACK P/L CHERMSIDE QL AUS Card xx4604 Value Date: 29/06/2024,1306.76
3/7/2024,-45,THE BARBER ROOM BRISBANE AUS Card xx4604 Value Date: 01/07/2024,1312.96
3/7/2024,-3.15,DRAKE SUPERMARKETS M MCDOWALL AUS Card xx4604 Value Date: 30/06/2024,1357.96
2/7/2024,-10,Sportsbet,1361.11
2/7/2024,-4.27,SQ *HEY MR.DUTTON PARK Dutton Park QL AUS Card xx4604 Value Date: 28/06/2024,1371.11
2/7/2024,-2.9,WOOLWORTHS 2678 ASPLEY AU AUS Card xx4604 Value Date: 28/06/2024,1375.38
2/7/2024,-30,KMART 1218KMART 1218 ASPLEY AU AUS Card xx4604 Value Date: 28/06/2024,1378.28
2/7/2024,-17.69,ZLR*sunshine kebab Aa Aspley AU AUS Card xx4604 Value Date: 28/06/2024,1408.28
2/7/2024,-5.8,COLES 4547COLES 4547 CHERMSIDE AU AUS Card xx4604 Value Date: 29/06/2024,1425.97
